50,242,13094
150,2198,32301
250,6254,53912
350,12237,91570
450,20200,145775
550,30345,201218
650,42256,227484
750,56274,313793
850,72119,390225
950,90111,434641
1050,110167,573803
1150,132199,638333
1250,156357,844260
1350,181975,880239
1450,209900,1030387
1550,239983,1091788
1650,271636,1302939
1750,305916,1357825
1850,341826,1494693
1950,379586,1614368
2050,419701,1752150
2150,461331,1908614
2250,505329,2093051
2350,551381,2258431
2450,599500,2440986
2550,649672,2639194
2650,702080,2856068
2750,756045,3054307
2850,812127,3304380
2950,870439,3645369
3050,930520,3785737
3150,992650,4745419
3250,1056871,4257470
3350,1122949,4497989
3450,1190534,4767711
3550,1260844,5115900
3650,1333260,5258920
3750,1407106,5666458
3850,1482924,5863097
3950,1560775,6291374
4050,1640666,6564408
4150,1722583,6728604
4250,1806383,7042100
4350,1892491,7382136
4450,1980444,7847562
4550,2070272,8195972
4650,2162443,8479191
4750,2256566,8731438
4850,2353011,9088191
4950,2451068,9518002
5050,2551097,9925385
5150,2653218,10384975
5250,2757344,10761003
5350,2863380,11348759
5450,2971720,13715682
5550,3081734,11937735
5650,3193305,12611972
5750,3307604,12796196
5850,3423360,13823419
5950,3541895,13662164
6050,3662216,14322635
6150,3784631,14604731
6250,3908500,15056078
6350,4034426,15472523
6450,4162445,15959569
6550,4292339,16704353
6650,4423659,16962879
6750,4557555,17964840
6850,4693701,17935201
6950,4831685,18472635
7050,4971529,19004720
7150,5113936,19796728
7250,5257822,20150845
7350,5403661,20797964
7450,5551869,21237488
7550,5701196,21570252
7650,5852917,22184373
7750,6006544,27399060
7850,6162678,23246088
7950,6320743,23882782
8050,6480874,24798716
8150,6643221,25060282
8250,6807150,25887857
8350,6973835,26634614
8450,7141743,27109966
8550,7311967,27508211
8650,7483986,28241340
8750,7657740,28566530
8850,7833950,29559027
8950,8012575,30305251
9050,8193049,30759644
9150,8374877,31998357
9250,8559391,32733662
9350,8746033,38348782
9450,8934079,40358716
9550,9124171,34253354
9650,9315537,34757565
9750,9509998,35653388
9850,9706317,36260306
9950,9904652,42852316
