50,127,15915
150,1078,31834
250,3070,45399
350,6128,78270
450,10127,117824
550,15102,127604
650,21074,166169
750,28215,253890
850,36277,254735
950,45173,311537
1050,55164,540075
1150,66004,441796
1250,77898,550151
1350,90975,603357
1450,105064,693021
1550,120053,770620
1650,136116,815531
1750,153183,911640
1850,171082,995686
1950,189769,1093404
2050,209767,1166155
2150,230824,1260376
2250,252616,1410997
2350,275568,1759582
2450,299772,1561692
2550,324763,1686059
2650,350739,1972283
2750,377453,2013279
2850,405628,2048589
2950,434559,2232250
3050,464203,2307188
3150,495143,2471288
3250,527225,2796989
3350,560267,2921664
3450,594462,3048039
3550,629543,3012121
3650,665621,3175089
3750,702980,3650715
3850,740985,3472315
3950,779946,3610074
4050,819981,3799966
4150,861364,3896090
4250,903572,5831736
4350,946610,4516436
4450,990572,4575472
4550,1035723,4973769
4650,1081934,4954387
4750,1128893,5351181
4850,1176637,5274525
4950,1225765,5431917
5050,1275776,5722257
5150,1327212,6075406
5250,1379223,6239576
5350,1432110,6413631
5450,1485788,6637866
5550,1540515,6987652
5650,1596536,7068794
5750,1653623,7247203
5850,1711399,7395043
5950,1770570,7889944
6050,1830240,8132906
6150,1891387,8205190
6250,1953322,8405027
6350,2016200,8722889
6450,2080057,9086101
6550,2145422,9174357
6650,2211215,10151208
6750,2278727,9756078
6850,2346870,10015495
6950,2416052,11898061
7050,2485772,10551242
7150,2557069,14750287
7250,2628928,12594977
7350,2702145,11561165
7450,2776229,11963235
7550,2851159,12114587
7650,2927288,12979220
7750,3004451,13006162
7850,3082660,13046319
7950,3161422,13508082
8050,3241498,13651074
8150,3322592,14386167
8250,3404230,14342253
8350,3487489,16501951
8450,3571616,15088158
8550,3657110,15610401
8650,3743512,15891843
8750,3830402,16038829
8850,3918322,17093262
8950,4007381,16694866
9050,4097521,17226954
9150,4188280,18048142
9250,4280254,17958896
9350,4372749,18601717
