50,242,3403
150,2198,19259
250,6254,34340
350,12237,67219
450,20200,100899
550,30345,141197
650,42256,188965
750,56274,238068
850,72119,299311
950,90111,356535
1050,110167,421977
1150,132199,496281
1250,156357,579918
1350,181975,705602
1450,209900,773070
1550,239983,861643
1650,271636,996547
1750,305916,1119980
1850,341826,1235086
1950,379586,1369799
2050,419701,1524962
2150,461331,1671036
2250,505329,1809334
2350,551381,1963714
2450,599500,2198944
2550,649672,2376368
2650,702080,2564815
2750,756045,2775391
2850,812127,3000195
2950,870439,3199924
3050,930520,3382323
3150,992650,3733436
3250,1056871,3883388
3350,1122949,4082285
3450,1190534,4422548
3550,1260844,4625529
3650,1333260,4990336
3750,1407106,5096262
3850,1482924,5424512
3950,1560775,5756284
4050,1640666,6066679
4150,1722583,6484133
4250,1806383,6771501
4350,1892491,7297766
4450,1980444,7528057
4550,2070272,7677324
4650,2162443,8364888
4750,2256566,8547835
4850,2353011,9064523
4950,2451068,9242079
5050,2551097,10353187
5150,2653218,9973032
5250,2757344,10578301
5350,2863380,11301335
5450,2971720,12083063
5550,3081734,11725741
5650,3193305,11704889
5750,3307604,12832751
5850,3423360,12565137
5950,3541895,13234255
6050,3662216,13154700
6150,3784631,13622761
6250,3908500,13992872
6350,4034426,14529418
6450,4162445,14983009
6550,4292339,15494401
6650,4423659,16012470
6750,4557555,18647725
6850,4693701,17179989
6950,4831685,17571135
