50,1220,4629
150,11256,49362
250,31272,123705
350,61126,193620
450,101036,305083
550,151093,490541
650,210752,625403
750,280683,827358
850,360688,1181438
950,450462,1343104
1050,550387,1688864
1150,660632,2041488
1250,780852,2382573
1350,911294,2779452
1450,1051405,3201286
1550,1201358,3665048
1650,1361678,4198270
1750,1531182,4734247
1850,1710911,5376994
1950,1900839,6000497
2050,2100831,6464927
2150,2311022,7098671
2250,2531055,7761061
2350,2761179,8573155
2450,3001366,9147529
2550,3251197,9921067
2650,3511250,10872579
2750,3781956,11535596
2850,4061845,12363062
2950,4351611,13466855
3050,4651220,14799236
3150,4961178,15125775
3250,5281266,15937357
3350,5610894,17065816
3450,5950212,22651224
3550,6300349,19882185
3650,6660557,19926412
3750,7030747,23791136
3850,7411000,28442434
3950,7800918,24098535
4050,8201735,24987253
4150,8612314,26646219
4250,9032663,27383829
4350,9462499,29008283
4450,9902813,30872923
4550,10353218,31203755
4650,10813371,33573479
4750,11283239,34356630
4850,11762786,36007774
4950,12252707,37164531
5050,12753380,39020403
5150,13263932,39614771
5250,13784530,41136438
5350,14314610,43146590
5450,14854042,45126728
5550,15403297,45840170
5650,15963292,50549664
5750,16532958,49176436
5850,17113155,61075027
5950,17703091,53087824
6050,18302482,54497242
6150,18913051,55575543
