50,480,6591
150,4470,23522
250,12473,53425
350,24591,98879
450,40499,155857
550,60435,221279
650,84170,297308
750,112407,396567
850,144450,486852
950,180248,591038
1050,220275,722927
1150,263954,860330
1250,312185,1006243
1350,364087,1318562
1450,419945,1423629
1550,479482,1631403
1650,543727,1846905
1750,611841,2066571
1850,684170,2300899
1950,760314,2556424
2050,840598,2775830
2150,924913,3085093
2250,1013129,3389520
2350,1105274,3655513
2450,1200967,4036771
2550,1301396,4411190
2650,1405333,4722071
2750,1513094,5143267
2850,1624824,5518311
2950,1740861,5974479
3050,1860543,6253112
3150,1984669,6756528
3250,2112706,7107934
3350,2244623,7722953
3450,2381314,8028965
3550,2521145,10617418
3650,2665214,9293178
3750,2813323,9524198
3850,2965777,10557373
3950,3121387,10750969
4050,3281589,11163757
4150,3445432,11825222
4250,3613713,12289224
4350,3786696,12907433
4450,3962471,13866650
4550,4142603,13894914
4650,4326247,14329714
4750,4513574,15936358
4850,4705729,16227358
4950,4901870,16536457
5050,5101977,18931181
5150,5305933,19259865
5250,5513947,19072091
5350,5725061,19236945
5450,5940689,19857776
5550,6160749,21600052
5650,6384872,21948560
5750,6613434,21883963
5850,6845481,24932024
5950,7081919,23954562
6050,7322013,24072511
6150,7565670,25037414
6250,7813895,27705102
6350,8066480,27369763
6450,8322982,27140740
6550,8583611,28355464
6650,8847779,29017918
6750,9116105,29808526
6850,9387685,30719355
6950,9663795,32160297
