50,31,1653
150,215,14895
250,606,27288
350,1198,28579
450,1989,55864
550,2963,92492
650,4177,72890
750,5618,93743
850,7228,123900
950,9011,146156
1050,11062,155515
1150,13187,176387
1250,15588,197570
1350,18185,224386
1450,20981,242582
1550,24080,263345
1650,27305,291943
1750,30742,314961
1850,34384,349852
1950,38159,370789
2050,42049,398423
2150,46307,429383
2250,50734,460729
2350,55252,474043
2450,60002,508005
2550,64909,529691
2650,70162,568829
2750,75444,607035
2850,80936,646015
2950,86746,663682
3050,92873,706374
3150,99073,763273
3250,105544,803378
3350,112162,850793
3450,118972,882509
3550,125947,928508
3650,133174,968160
3750,140600,982938
3850,148165,1041037
3950,156178,1074538
4050,164067,1444298
4150,172190,1220349
4250,180370,1285606
4350,188857,1464436
4450,197611,1683527
4550,206687,1572781
4650,215940,2176455
4750,225379,1891124
4850,234915,1805539
4950,244606,1660904
5050,254447,1999176
5150,264648,2070587
5250,275059,2565422
5350,285792,2244574
5450,296581,2044940
5550,307736,2140544
5650,318850,2267851
5750,330245,2337475
5850,341810,2475618
5950,353619,2439840
6050,365678,2511446
6150,377545,2634494
6250,389949,2684827
6350,402751,2717633
6450,415493,2884434
6550,428531,3027285
6650,441457,3051277
6750,454832,3112444
6850,468209,3341807
6950,481956,3572580
