# File created at 2020-01-06T12:57:36+0100
# from file -. V: 100. E: 3312
     1 ,       42950
     2 ,       25611
     3 ,       24801
     4 ,       25457
     5 ,       24581
     6 ,       24637
     7 ,       24600
     8 ,       24196
     9 ,       25587
    10 ,       24609
    11 ,       25102
    12 ,       24452
    13 ,       24002
    14 ,       24698
    15 ,       23992
    16 ,       24338
    17 ,       23689
    18 ,       24782
    19 ,       24319
    20 ,       23792
    21 ,       23638
    22 ,       24295
    23 ,       24564
    24 ,       24016
    25 ,       24426
    26 ,       24928
    27 ,       24658
    28 ,       23650
    29 ,       24009
    30 ,       24330
    31 ,       24660
    32 ,       24632
    33 ,       25337
    34 ,       23746
    35 ,       24292
    36 ,       25161
    37 ,       24867
    38 ,       24491
    39 ,       24157
    40 ,       24500
    41 ,       24182
    42 ,       24485
    43 ,       23966
    44 ,       24567
    45 ,       25249
    46 ,       24047
    47 ,       24444
    48 ,       24790
    49 ,       43137
    50 ,       24457
    51 ,       23723
    52 ,       23518
    53 ,       24259
    54 ,       24184
    55 ,       24029
    56 ,       23381
    57 ,       23986
    58 ,       24303
    59 ,       24272
    60 ,       24476
    61 ,       24191
    62 ,       25170
    63 ,       23628
    64 ,       23612
    65 ,       23916
    66 ,       24019
    67 ,       25131
    68 ,       23839
    69 ,       24308
    70 ,       24126
    71 ,       25436
    72 ,       24008
    73 ,       23899
    74 ,       24786
    75 ,       24808
    76 ,       24063
    77 ,       23883
    78 ,       24590
    79 ,       24304
    80 ,       24417
    81 ,       24364
    82 ,       23518
    83 ,       24624
    84 ,       23861
    85 ,       24311
    86 ,       24903
    87 ,       24354
    88 ,       24812
    89 ,       24350
    90 ,       23928
    91 ,       24001
    92 ,       24212
    93 ,       23656
    94 ,       22158
    95 ,       23389
    96 ,       22857
    97 ,       22564
    98 ,       19259
    99 ,       18937
   100 ,       22342
